user_id,event_time,event_name,platform,source,country,app_version,revenue
U001,2025-01-03 09:15:00,registration,iOS,google,UK,1.0,0
U001,2025-01-03 09:18:00,session,iOS,google,UK,1.0,0
U001,2025-01-04 10:20:00,session,iOS,google,UK,1.0,0
U001,2025-01-07 12:30:00,purchase,iOS,google,UK,1.0,49
U002,2025-01-03 11:00:00,registration,Android,facebook,UK,1.0,0
U002,2025-01-05 14:00:00,session,Android,facebook,UK,1.0,0
U003,2025-01-04 08:00:00,registration,iOS,tiktok,US,1.0,0
U003,2025-01-04 08:30:00,add_to_cart,iOS,tiktok,US,1.0,0
U003,2025-01-05 09:00:00,purchase,iOS,tiktok,US,1.0,99
U003,2025-01-10 11:00:00,session,iOS,tiktok,US,1.0,0
U004,2025-01-05 12:00:00,registration,Android,google,DE,1.0,0
U004,2025-01-06 15:00:00,session,Android,google,DE,1.0,0
U005,2025-01-10 10:00:00,registration,iOS,google,UK,1.1,0
U005,2025-01-11 12:00:00,session,iOS,google,UK,1.1,0
U005,2025-01-13 13:00:00,purchase,iOS,google,UK,1.1,79
U006,2025-01-10 16:00:00,registration,Android,tiktok,US,1.1,0
U007,2025-01-12 09:00:00,registration,iOS,facebook,UK,1.1,0
U007,2025-01-13 10:00:00,session,iOS,facebook,UK,1.1,0
U007,2025-01-19 12:00:00,purchase,iOS,facebook,UK,1.1,29
U008,2025-01-15 08:00:00,registration,Android,google,DE,1.1,0
U008,2025-01-16 09:00:00,session,Android,google,DE,1.1,0
U008,2025-01-22 10:00:00,session,Android,google,DE,1.1,0
U009,2025-01-20 08:00:00,registration,iOS,tiktok,US,1.2,0
U009,2025-01-20 08:15:00,add_to_cart,iOS,tiktok,US,1.2,0
U009,2025-01-21 09:00:00,purchase,iOS,tiktok,US,1.2,149
U010,2025-01-20 13:00:00,registration,Android,google,UK,1.2,0
U010,2025-01-21 15:00:00,session,Android,google,UK,1.2,0
